source,date,flag,subject,body
[ecoevojobs],2020-10-18,i,Asst / Assoc Prof | Coastal Ecological Engineering | Auburn University | https://www.auemployment.com/postings/19629 | [ecoevojobs], 
[ecoevojobs],2020-10-18,y,Asst Prof | Earth System Science | Clark University | https://clarku.interviewexchange.com/jobofferdetails.jsp;jsessionid=AD5FCE1B74BCDF720CDA125EFC97E451?JOBID=124776&jobboard=148 | [ecoevojobs],
[ecoevojobs],2020-10-18,y,Asst Prof | Quantitative Ecology | Wake Forest | https://wfu.wd1.myworkdayjobs.com/en-US/Faculty_Career_Website_live/job/Winston-Salem-NC/Assistant-Professor--Quantitative-Ecology_R0002739 | [ecoevojobs],"Does not specifically say TT, so I am not sure about that."
[ecoevojobs],2020-10-18,y,Asst Prof | Ecosystem Science & Global Change | Dartmouth College | https://apply.interfolio.com/78045 | [ecoevojobs],"Anyone know what the teaching load is here? 1) Ans (from Dartmouth): 3 courses a year on a quarter system, you can stack 2 courses in 1 term and have one off term and one resident term where you are on campus but not teaching 2) is ""at least 3 letters of references"" supposed to be 3-5 letters or is there a cap? 3) Cap of three on the submission system 4) Are they soliciting letters automatically?"
[ecoevojobs],2020-10-22,i,Asst Prof | Quantitative Biology | Carnegie Mellon University | https://apply.interfolio.com/78959 | [ecoevojobs],"1) Could anyone advise what specifically do they mean by ""Quantitative Biology"" - do they have a topic in mind already? "
[ECOLOG],2020-10-22,y,Coastal Ecology ORISE opportunities | https://www.esa.org/membership/ecolog/ | [ECOLOG],"The Coastal Ecology Team at the USACE Engineer Research and Development Center- Environmental Lab invites applicants for ORISE fellowship opportunities at the post doc and post-master\xc3\xa2\xc2\x80\xc2\x99s level.  The post-doc will focus on a collaborative oyster restoration project with USACE Engineer Research and Development Center \xc3\xa2\xc2\x80\xc2\x93 Environmental Lab and the University of Southern Mississippi as well as other ongoing coastal and aquatic projects.  The post-master\xc3\xa2\xc2\x80\xc2\x99s position will focus on ongoing work with Natural and Nature Based Features (NNBF).  Opportunity details:https://www.zintellect.com/Opportunity/Details/ERDC-EL-2020-0024https://www.zintellect.com/Opportunity/Details/ERDC-EL-2020-0025Ideally, the ORISE fellows would sit in Vicksburg, MS once there is a significant workforce on site, but location would be flexible at the start given the current climate. I am happy to provide more info or answer any questions from interested candidates.Thanks,Safra"
[ecoevojobs],2020-10-22,y,Asst Prof | Conservation and Restoration Science | University of British Columbia | https://academicjobsonline.org/ajo/jobs/17171 | [ecoevojobs],"Part of the Biodiversity solutions cluster hire (https://biodiversity.ubc.ca/cluster-hire) ""We encourage applicants who use a range of empirical or theoretical approaches, applying them to real-world problems from local to global scales, in terrestrial or aquatic ecosystems, and working in plant, animal or fungal systems"" 1) I think this is specific to botany, despite the above description. Can someone confirm if they know or agree? 2) @1 do you say that just because of the departments that are hiring for this position? 3) emailed to find out, will update 4) update to #3 from Clare Kremen: ""the search committee will be happy to review applicants working on animals as well."""
[ECOLOG],2020-10-22,i,3-year Postdoc at UVA on Synchrony of Kelp Forest Ecosystems | https://www.esa.org/membership/ecolog/ | [ECOLOG],"*** Postdoctoral Research Associate in the Spatial Synchrony of Kelp Forest Ecosystems ***The Department of Environmental Sciences at the University of Virginia (UVA) seeks a postdoctoral research associate to study the ecology and spatial synchrony of kelp forests in coastal California.As part of an NSF-funded research project, the postdoctoral research associate will investigate the patterns and causes of synchrony (the tendency for populations in different locations to fluctuate similarly over time) in kelp populations and associated reef communities, and the consequences for coastal ecosystem structure and function. The position will focus on analyzing multiple long-term, large-scale ecological and oceanographic datasets related to California giant kelp (Macrocystis pyrifera) forests and sandy beach ecosystems, including those from biodiversity monitoring programs and remote sensing products.The postdoctoral research associate will be based in Charlottesville, Virginia, where they will join a dynamic research group led by professor Max Castorani (https://castorani.evsc.virginia.edu/). They will also work closely with a collaborative team of principal investigators, postdocs, and students at the University of Kansas and University of California at Los Angeles and Santa Barbara. The position has considerable technical support for data management. Due to the COVID-19 pandemic, the position may begin with a remote work arrangement. QUALIFICATION REQUIREMENTS: At the time of appointment, the candidate will hold a Ph.D. in ecology, oceanography, marine science, applied statistics, computer science, mathematics, or a related field. Ideal candidates will have interests in population or community ecology and strong quantitative skills, such as data analysis, ecological modeling, or scientific programming. Excellent verbal and written communication skills, and a proven capacity to publish original research in peer-reviewed journals are required. A background in coastal marine ecology is beneficial but not necessary. The Department is especially interested in candidates who can contribute to the diversity and excellence of the academic community.TO APPLY: Apply online at https://uva.wd1.myworkdayjobs.com/en-US/UVAJobs/job/Charlottesville-VA/Research-Associate-in-the-Spatial-Synchrony-of-Kelp-Forest-Ecosystems_R0019035-1/. Include (1) a cover letter describing your motivation, previous relevant experience, and research ideas related to the advertised position; (2) curriculum vitae; and (3) contact information for three individuals who can provide professional reference letters upon request. Please note that multiple documents can be uploaded in the box.APPLICATION DEADLINE: Review of applications will begin November 1, 2020 and continue until the position is filled. The start date is negotiable. The University will perform background checks on all new hires prior to employment. Initial appointment will be for one year, with anticipated funding for a total of three years, conditional upon performance. UVA offers competitive salary and excellent benefits to its community of more than 300 postdoctoral researchers and scholars.For further information about the position, please contact Dr. Max Castorani, Assistant Professor, at castorani@virginia.edu.For questions regarding the application process, contact Rich Haverstrom, Faculty Search Advisor, at rkh6j@virginia.edu.For more information on the benefits available to postdoctoral associates at UVA, visit https://postdoc.virginia.edu/ and https://hr.virginia.edu/benefits/.The University of Virginia, including the UVA Health System which represents the UVA Medical Center, Schools of Medicine and Nursing, UVA Physician\xc3\xa2\xc2\x80\xc2\x99s Group and the Claude Moore Health Sciences Library, are fundamentally committed to the diversity of our faculty and staff.  We believe diversity is excellence expressing itself through every person\'s perspectives and lived experiences.  We are equal opportunity and affirmative action employers. All qualified applicants will receive consideration for employment without regard to age, color, disability, gender identity or expression, marital status, national or ethnic origin, political affiliation, race, religion, sex (including pregnancy), sexual orientation, veteran status, and family medical or genetic information."
[ECOLOG],2020-10-22,i,The Natural Capital Project offers a Virtual Crash Course: Habitat Quality Model  | https://www.esa.org/membership/ecolog/ | [ECOLOG],"Virtual Crash Course: Habitat Quality Model<https://naturalcapitalproject.stanford.edu/impact/invest-virtual-workshops>November 16 & 19, 2020Looking to learn more in a small group, hands-on setting? We\'ve created Virtual Crash Courses. Our first one will focus on InVEST\'s Habitat Quality Model<https://naturalcapitalproject.stanford.edu/software/invest-models/habitat-quality> and we will cap the course at 30 learners; first-come, first-served.The course is designed for attendees that have some GIS experience; familiarity with InVEST is desirable, but not required . It is a 3 hour, live training divided across 2 days. Participants will receive a certificate of participation on completion of the course.Day 1: We\'ll walk-through the Habitat Quality model, our instructor will unpack the inputs of the model in QGIS or ArcGIS using sample data with a live demo and introduce the homework. The group will break into teams to work on the assignments.Day 2: We\'ll unpack the results and review the homework. Students will play with re-calibrating the models by changing the table input values. The teams will share results and collectively troubleshoot any issues. Our goal is for students to be able to run the model and interpret results by the end of the training.The training will take place on:?  Monday, November 16, 2020 from 10:00 am - 11:30 am (Pacific Time)?  Thursday, November 19, 2020 from 10:00 am - 11:30 am (Pacific Time)The course fee is $155 (USD). Unfortunately we cannot offer any discounts or refunds for this course. The course link and a sample data packet will be sent following confirmation of payment.Deadline to register<https://app.certain.com/profile/form/index.cfm?PKformID3D0x32216799bb3> is November 13, 2020Before attending:?  Required: Download InVEST?  Recommended: Watch the InVEST Virtual Workshop summer series recordings (see below) to learn more about the NatCap approach, InVEST, ecosystem services and other models include Sediment Delivery Ratio<https://naturalcapitalproject.stanford.edu/software/invest-models/sediment-retention> (SDR)/Nutrient Delivery Ratio<http://releases.naturalcapitalproject.org/invest-userguide/latest/ndr.html?highlight3Dndr> (NDR), Urban InVEST<https://naturalcapitalproject.stanford.edu/impact/software/invest-models/development-urban-invest> and Coastal Vulnerability<https://naturalcapitalproject.stanford.edu/software/invest-models/coastal-vulnerability> (CV).?  Recommended: Take the free online course, Introduction to the Natural Capital Project Approach<https://www.edx.org/course/introduction-to-the-natural-capital-project-approach>(can be taken in parallel with the Crash Course)Jade Delevaux, PhDLife Science ResearcherThe Natural Capital ProjectStanford University | University of Washington+1-808-372-5794 (mobile)www.naturalcapitalproject.stanford.edu<http://www.naturalcapitalproject.stanford.edu>\'The difference between what we do and what we are capable of doing would suffice to solve most of the worlds problems.\' Mohandas Gandhi "
[ECOLOG],2020-10-22,i,EFI NEON Forecasting Challenge | https://www.esa.org/membership/ecolog/ | [ECOLOG],"EFI NEON Forecasting ChallengeThe Ecological Forecasting InitiativeE28099s Research Coordination Network (EFI-RCN) is pleased to announce the launch of the inaugural NEON Ecological Forecast Challenge <https://ecoforecast.org/efi-rcn-forecast-challenges/>! https://ecoforecast.org/efi-rcn-forecast-challenges/  The challenge is open to any individual or team and is asking participants to make predictions for ecological data being collected by the National Ecological Observatory Network (NEON <https://www.neonscience.org/>). The forecasting challenge is similar to a data science challenge or model-intercomparison project except that this is a true forecast  the validation data hasnE28099t been collected yet at the time predictions are made.Individuals or team contacts can register to submit forecasts HERE <https://nd.qualtrics.com/jfe/form/SV_9MJ29y2xNrBOjqZ> and registration includes categories for different career stages. There are five themes in the Challenge that span a broad range of terrestrial and aquatic systems across the United States.Challenges Themes:Aquatic Ecosystems - Once-a-month forecasts of dissolved oxygen and water temperature from a NEON lake and a river site. Forecasts have a daily time step for 7 days into the future and forecast submissions are accepted May 31-August 31, 2021Terrestrial Carbon and Water Fluxes - Once-a-month forecasts of net ecosystem exchange of CO2, evapotranspiration, and soil moisture at four terrestrial NEON sites that differ in water availability. Forecasts should have a half hour or daily timestep for 35 days into the future and forecast submissions are accepted January 31-December 31, 2021Beetle Communities - Once-a-month forecasts of beetle abundance and species richness forecasts at 47 terrestrial NEON sites. Forecasts should have a weekly timestep for 20 months in the future and forecasts submissions are accepted June 30-December 31, 2021Tick Abundance - Once-a-month forecasts of Amblyomma americanum and Ixodes scapularis nymphal tick abundance at seven NEON sites. Forecasts should have a weekly timestep for 34 weeks into the future and forecast submissions are accepted March 31-October 31, 2021Phenology - Daily forecasts of plant greenness at seven deciduous broadleaf forest NEON sites as measured by Phenocams. Forecasts should have a daily timestep for 35 days into the future and forecast submission are accepted February 1-July 1, 2021 (spring) with a second round being run for the autumn.Forecasts may be submitted after the start date for each theme. Evaluations will occur throughout the year and are intended to result in a journal special issue highlighting the different approaches and lessons learned.The design of the challenge is the result of contributions of over 200 participants in the May 2020 virtual EFI-RCN meeting, including partner organizations, and the hard work from the Design Teams that have developed the protocols for each of the themes.20The primary goals of this challenge are to improve our predictive capacity for these five research areas, all of which have both scientific and societal value, to advance the discipline of ecological forecasting, and to build community. Across these five forecast areas we are excited to learn more about the patterns of predictability of different ecological processes and what modeling frameworks, mechanistic processes, and statistical approaches best capture community, population, and ecosystem dynamics.  We aim to support a collegial, supportive environment focused on friendly competition and encourage participation across a range of disciplines (hydrologists, epidemiologists, data scientists, statisticians, computer scientists, etc.) not ecologists.With this launch, we are sharing an overview of the themes, how to participate and forecast evaluation descriptions on our Challenge webpage <https://ecoforecast.org/efi-rcn-forecast-challenges/> to help individuals, lab groups, and course instructors think about participating in this first round of the EFI NEON Ecological Forecast Challenge. Indeed, a number of courses are participating in the challenge this spring and fall and weE28099d encourage you to contact us eco4cast.initiative@gmail.com <mailto:eco4cast.initiative@gmail.com> if youE28099d like to participate as a class.We will provide additional information about the Challenge on the Challenge webpage <https://ecoforecast.org/efi-rcn-forecast-challenges/>, and at the December 9, AGU EFI Town Hall <https://agu.confex.com/agu/fm20/meetingapp.cgi/Session/102792>. There are Slack channels and GitHub repositories for each theme where registered participants can discuss issues and shared challenges. These repositories will include a E2809CnullE2809D forecast workflow for each challenge that teams can build off of to develop more interesting forecasts.20"
[earthenvscience],2020-10-22,i,Assistant Prof | Earth System Science | Clark University | https://clarku.interviewexchange.com/jobofferdetails.jsp;jsessionid=3B782A087859559F49C1D5231791B447?JOBID=124776&jobboard=148 | [earthenvscience],
[earthenvscience],2020-10-22,i,Assistant Prof | Ecosystem Science and Global Change | Dartmouth College | https://apply.interfolio.com/78045 | [earthenvscience],
[ECOLOG],2020-10-22,i,Postdoctoral position studying the critical zone in drylands | https://www.esa.org/membership/ecolog/ | [ECOLOG],"The University of Texas at El Paso (UTEP), in association with Boise State University, and the U.S.D.A. Agricultural Research Service (ARS), is recruiting a postdoctoral researcher to work on a recently funded National Science Foundation \'Critical Zone Thematic Cluster\' grant to study carbon fluxes, ecohydrology, and nutrient availability in the carbonate-dominated soils of dryland ecosystems. The project has sites in Texas, New Mexico, and Idaho. While funded through UTEP, this position is located in Boise, Idaho and focused on the scientific field operations at the Idaho sites, including the Reynolds Creek Experimental Watershed and the Northwest Irrigation and Soils Research site in Kimberly, Idaho. We are specifically looking for a candidate who has experience working with eddy covariance towers and the data that they generate. Other useful areas of interest include soil science, soil biogeochemistry, knowledge of dryland ecosystem structure and function, and ecosystem-atmosphere gas exchange techniques. We seek a colleague who is interested in collaborative engagement with scientists and students and also in education and outreach activities. Up to four years of funding is available. We will begin to review applications on Nov 15th but the position is open until filled. The target start date for the position is January 4, 2021. For more information, please email Anthony Darrouzet-Nardi (ajdarrouzetnardi@utep.edu), and copy Lixin Jin (ljin2@utep.edu), Jennifer Pierce (jenpierce@boisestate.edu), and Gerald Flerchinger (gerald.flerchinger@usda.gov). To submit an application, please visit this link and send one pdf file with a cover letter, CV, and contact information of at least three referees."
[ECOLOG],2020-10-22,i,"Research Scientist Position - Florida Oceanographic Society; Stuart, FL. | https://www.esa.org/membership/ecolog/ | [ECOLOG]","ECOLOG-L Members, The Department of Research and Conservation at the Florida Oceanographic Society seeks a Research Scientist to contribute to projects examining marine ecology in the Indian River Lagoon and St. Lucie Estuary, FL.The position requires a Ph.D. in Ecology, Marine Science, or similar field, and expertise in field- and lab-based techniques to assess ecosystem functioning of oyster and seagrass populations. The successful applicant will contribute to ongoing projects on coastal restoration, ecosystem functioning and monitoring and will have the opportunity to co-develop new projects. Highly motivated candidates with a demonstrated record of publishing in peer-reviewed journals and strong data management and statistical analysis skills are encouraged to apply. For the full position announcement please follow the link: https://www.floridaocean.org/sites/default/files/images/POSITION%20DESCRIPTION_Research%20Scientist_Full%20Time.pdf. To apply, please submit via e-mail your cover letter and CV, a statement of research interests, the names and contact information of three references, and the FOS employment application: https://www.floridaocean.org/sites/default/files/images/Florida%20Oceanographic%20Employment%20Application%202019.pdf - to Dr. Lorae T. Simpson (Lsimpson@floridaocean.org) by November 6, 2020.Additional information about the Florida Oceanographic Society and Department of Research and Conservation can be found at https://www.floridaocean.org/ and https://www.floridaocean.org/research-conservation, respectively.Thank you,"
SCL Jobs,2020-10-25,i,Postdoc at University of Windsor | http://socanlimnol.ca/job/postdoc-at-university-of-windsor/?utm_source=rss&utm_medium=rss&utm_campaign=postdoc-at-university-of-windsor | SCL Jobs,"Postdoctoral Fellow position available in invasion ecology with Drs. Hugh MacIsaac and Sarah Bailey. We seek candidates for a position to address risk assessment associated with colonization pressure in aquatic invasion ecology. The successful applicant will review pertinent literature, assess risk associated with mock zooplankton communities in experimental mesocosms, and model relative risk associated with [&#8230;]"
ESA Career Center,2020-10-25,i,The Carnegie Institution for Science’s Department of Global Ecology: Global Ecology Senior Staff Scientist and Staff Associates | https://www.esacareercenter.org/job-details/2256/global-ecology-senior-staff-scientist-and-staff-associates/?utm_source=DirectRSS&utm_medium=direct | ESA Career Center,"Global Ecology Senior Staff Scientist and Staff Associates The Carnegie Institution for Science’s Department of Global Ecology seeks applications for two (2) Staff Associates and one (1) Senior Staff Scientist . Scholars in the Department of Global Ecology seek to understand how interactions between the Earth’s biogeochemical cycles and anthropogenic activity affect the sustainability of the Earth system, now and into the future. The Department of Global Ecology is located on the campus of Stanford University in California. The Carnegie Institution for Science has a deep commitment to scientific excellence and to increased diversity in STEM fields; we strongly encourage applications from candidates who will enrich and foster a culturally diverse and inclusive environment. The Carnegie Institution for Science is a unique organization dedicated to scientific discovery that provides individuals with the freedom and resources to explore areas at the cutting edge of their fields. Scientists at the Institution have access to generous resources in support of their research and career success, including research equipment, technical staff, computing services/support, professional development opportunities, and discretionary funding for research support. About the Position: Carnegie staff scientists hold endowment-supported 12 month per annum salaried appointments. They pursue independent research that is supported by a combination of endowment funds and external support. Although staff scientists do not have formal teaching duties, we place considerable emphasis on mentoring graduate and postdoctoral scholars. Staff Associate positions are similar in seniority to early-career Assistant Professors and are appointed on a five-year fixed-term. Senior Staff Scientist positions are similar in seniority to Associate/Full Professor rank and are appointed on an open-ended term. Successful candidates will join a vibrant and growing scientific community that values both independent and collaborative research. Faculty in the department conduct use-inspired basic research, focusing on systems that involve life in its interactions with physical systems on planet Earth. The department has historical strengths in terrestrial ecology, plant physiology, climate science, energy systems, water resources, nutrient cycling, and aquatic ecology. Research approaches have ranged from field- and laboratory-based investigation to satellite remote sensing. More information about our current staff and their areas of expertise can be found on our website at https://dge.carnegiescience.edu . We seek candidates who will bolster existing areas of research as well those who would add complementary expertise as we further broaden the definition of Global Ecology. Examples of potential areas of interest include integrating mechanistic understanding of the biosphere from the leaf to the global scale, understanding interactions between climate and human health, quantifying feedbacks between physical climate and societal decision-making, anticipating global challenges of emerging technologies, understanding trade-offs and linkages in highly coupled natural, and natural-human systems, understanding the impact of global change on marine ecosystems and vice versa, improving understanding of the linkages among global biogeochemical cycles, and assessing co-benefits or unintended consequences of addressing environmental challenges. Candidates in complementary areas of research are also encouraged to apply. Job Duties & Responsibilities: Conduct and publish innovative, cutting-edge research with potential to advance scientific knowledge in areas relevant to the Department of Global Ecology Seek external funding to complement endowment support for research projects and graduate/postdoctoral trainees Mentor/supervise post-doctoral and graduate scientists Contribute to service in support of the department and the organization Required Qualifications: PhD in relevant areas of physical, mathematical or life sciences. Evidence of innovative independent and collaborative research contributions. Demonstrated promise of external funding success Commitment to diversity, equity and inclusion in STEM Anticipated Hire Date: Appointments for all positions could begin as early as January 2021 or as late as September 2021. In light of ongoing challenges associated with the pandemic, we will work with successful candidates to provide flexibility in relocation and start dates to accommodate individual needs and safety. Candidates may be appointed to work remotely for a limited time to accommodate relocation challenges associated with the pandemic. Application Documents & Submission: Applicants should submit (1) a cover letter with names of at least three references, (2) a curriculum vitae, (3) copies of three to five representative publications, and (4) a 3-4 page statement that addresses current and future research directions, mentoring philosophy, and experience with and/or commitment to diversity, equity, and inclusion in STEM fields. First consideration of applications will begin November 1 and will continue until the positions are filled. Questions about these positions can be addressed to Dr. Anna M. Michalak at dgepositions@carnegiescience.edu. All materials must be submitted through Carnegie’s online application portal: https://jobs.carnegiescience.edu/jobs/dge . Employer Information: Employment offers are contingent upon successful completion of background checks. The Carnegie Institution for Science is an Equal Opportunity, Affirmative Action Employer. We are committed to creating a diverse, equitable and inclusive workplace where all employees can thrive. Carnegie Science does not discriminate on the basis of race, color, religion, sex (including pregnancy and gender identity), national origin, political affiliation, sexual orientation, marital status, disability, genetic information, age, membership in an employee organization, retaliation, parental status, military service, or other non-merit factors. The Carnegie Science Mission Statement: Andrew Carnegie established a unique organization dedicated to scientific discovery “to encourage, in the broadest and most liberal manner, investigation, research, and discovery and the application of knowledge to the improvement of mankind …” The philosophy was and is to devote the institution’s resources to “exceptional” individuals so that they can explore the most intriguing scientific questions in an atmosphere of complete freedom. Carnegie and his trustees realized that flexibility and independence were essential to the institution’s success and that tradition is the foundation of the institution today as it supports basic scientific research. Learn more at https://carnegiescience.edu/why-carnegie ."
SCL Jobs,2020-10-25,i,Postdoctoral Position in Carbon and Nutrient Biogeochemistry | http://socanlimnol.ca/job/postdoctoral-position-in-carbon-and-nutrient-biogeochemistry/?utm_source=rss&utm_medium=rss&utm_campaign=postdoctoral-position-in-carbon-and-nutrient-biogeochemistry | SCL Jobs,"Applications are now being accepted for a postdoctoral position to participate in multidisciplinary and highly collaborative projects in carbon and nutrient biogeochemistry in both lakes and rivers. The position will be based in the Department of Biology, Trent University, Peterborough, Ontario, Canada in the labs of Paul Frost (http://people.trentu.ca/~paulfrost/)and Maggie Xenopoulos (https://people.trentu.ca/~mxenopoulos/). Potential projects include [&#8230;]"
Science Careers,2020-10-25,y,West Chester University: Assistant Professor of Biology - Freshwater Ecology | https://jobs.sciencecareers.org/job/518924/assistant-professor-of-biology-freshwater-ecology/?TrackID=9 | Science Careers,"Starting salary is commensurate with experience.:

West Chester University:
Tenure track Assistant Professor of Biology - Freshwater Ecology position available August 2021 at West Chester University
West Chester University, West Chester, Pennsylvania"
SCL Jobs,2020-10-25,i,"Postdoctoral position – Collaborative project among International Joint Commission, Great Lakes Fisheries Commission, University of Windsor, and Ontario Ministry of Environment, Conservation and Parks | http://socanlimnol.ca/job/postdoctoral-position-collaborative-project-among-international-joint-commission-great-lakes-fisheries-commission-university-of-windsor-and-ontario-ministry-of-environment-conservation-and-parks/?utm_source=rss&utm_medium=rss&utm_campaign=postdoctoral-position-collaborative-project-among-international-joint-commission-great-lakes-fisheries-commission-university-of-windsor-and-ontario-ministry-of-environment-conservation-and-parks | SCL Jobs","We are looking to fill one postdoctoral position as a part of a collaborative project among International Joint Commission, Great Lakes Fisheries Commission, University of Windsor, and Ontario Ministry of Environment, Conservation and Parks. The successful candidate will work on a project related to compiling information and reviewing approaches for fish consumption advisories due to [&#8230;]"
[ecoevojobs],2020-10-27,y,Asst / Assoc Prof | Quantitative Theory & Methods | Emory University | https://apply.interfolio.com/79099 | [ecoevojobs],"Very broad, includes theoretical ecology and evolution. different from the Biology search below  2) This looks like a CS or Stats style app-- they want a transcript and a Teaching Portfolio.  Unusual for Bio. "
[ECOLOG],2020-10-27,i,Postdoc =?ISO-8859-1?Q?=E2=80=93?= Spatial analysis and risk assessment of an invasive pest complex   | h | [ECOLOG],"Postdoctoral scholar \xc3\xa2\xc2\x80\xc2\x93 Spatial analysis and risk assessment of an invasive pest complex in vineyards.  An opening is available for a postdoctoral researcher in the Department of Entomology at the University of California \xc3\xa2\xc2\x80\xc2\x93 Riverside to study the prospective invasion dynamics of a pest complex, using the European grapevine moth (Lobesia botrana) and related Tortricid moth grapevine pests as a focal system. The primary objectives of the project, which is funded by USDA-APHIS, are to characterize regional patterns of susceptibility to multiple invaders and evaluate different surveillance strategies for confirming their establishment. Research activities may include a combination of species distribution modeling, network analysis of invasion pathways and regional patterns of spread, or simulation modeling of surveillance programs; with some freedom for the postdoc to determine the specific direction of the research.Applicants should have a Ph.D. in ecology, entomology, geography or a related field with a focus on invasion biology or landscape ecology. Substantial experience with statistical modeling and geospatial analysis is required, preferably in the R programming language. The ideal candidate would have a working knowledge of spatial statistics, species distribution modeling, and ecological/social network analysis. Opportunities exist to engage with the relevant regulatory agencies and agricultural stakeholders to guide decision-making.The appointment is for one year, with the potential for renewal contingent on success of another pending source of funding. The UC Riverside campus houses a diverse array of natural science researchers spread among multiple departments and centers, with whom interaction and collaboration is encouraged. Working remotely is also a possibility. The position is available now, but the start date is somewhat flexible. To apply, send a cover letter, CV, list of professional references, and a writing sample to Matt Daugherty (mattd@ucr.edu)."
[ecoevojobs],2020-10-27,y,Asst / Assoc Scientist | Emerging Contaminants / Aquatic Ecosystems | University of Wisconsin-Madison | https://jobs.hr.wisc.edu/en-us/job/505699/emerging-contaminants-scientist | [ecoevojobs],"""This position will provide applied research and outreach to address emerging contaminants and threats to Great Lakes ecosystems and public health in Wisconsin."""
[ecoevojobs],2020-10-28,y,Lecturer / Asst Prof of Teaching | Quantitative Biology | UC Davis | https://recruit.ucdavis.edu/JPF03860?utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed | [ecoevojobs],"Not TT, but Lecturer with the Potential for Security of Employment are eligible for promotion to “Security of Employment,” which is analogous to tenure 2) It is a tenure track position, just of teaching, rather than research. They are full senate faculty at UCD."
[ecoevojobs],2020-10-28,i,Asst Prof | Land Stewardship / Geography | University of Wisconsin Platteville | https://wdtnjobs.com/jobs/assistant-professor-of-land-stewardship-geography-platteville-wisconsin/185514737-2/ | [ecoevojobs],"In geography department but ""will contribute to the newly established Environmental Science and Conservation program established within the Department of Geography."" ... ""will engage with diverse partners and will draw from Traditional Ecological Knowledge and western science to inform their teaching, mentoring, and scholarship to create profound learning experiences around the restoration and stewardship of the diverse ecological communities of the Driftless Area."""
[earthenvscience],2020-10-28,y,Assistant Prof | Geodata and Earth Observation | University of Bern | https://ohws.prospective.ch/public/v1/jobs/a9b44a9d-6fef-4612-9084-76d85b354731 | [earthenvscience],
[earthenvscience],2020-10-29,i,Assoc/Full Prof | Environmental Science and Data Science | University of Virginia | https://uva.wd1.myworkdayjobs.com/en-US/UVAJobs/job/Charlottesville-VA/Associate-or-Full-Professor-in-Environmental-Science-and-the-School-of-Data-Science_R0015097 | [earthenvscience],
Science Careers,2020-10-29,i,Wake Forest University: Tenure Track Assistant Professor in Quantitative Ecology | https://jobs.sciencecareers.org/job/521250/tenure-track-assistant-professor-in-quantitative-ecology/?TrackID=9 | Science Careers,"Academic year (9-month) salary commensurate with experience + full faculty benefits.:

Wake Forest University:
Wake Forest seeks a tenure-track Assistant Professor in Quantitative Ecology who studies populations, communities, or ecosystems.  
Winston Salem, North Carolina"
[ECOLOG],2020-10-29,y,"USGS post doc, Denver, LULC impacts, urbanization, ecosystem services, and monarch habitat | http://aries.integratedmodelling.org/>) | [ECOLOG]","USGS Post-Doctoral Research Fellowship - Quantitative ecologist/Geographer/Physical scientist focused on the impacts of land-use land-cover change on urban ecosystem services and monarch butterfly habitat.The United States Geological Survey is recruiting a post-doctoral scientist for a multi-disciplinary project focused on (1) understanding the consequences of land use-land cover (LULC) change on lands that support monarch butterfly migrations, (2) quantifying ecosystem services in urbanizing landscapes, and (3) using results to inform decision making. Funding for the fellowship is for 1 year and is subject to renewal up to 3 years given available funding. Remuneration is US$ $84,000, plus benefits. The post-doc will work with project co-leads Jay Diffendorfer, Mark Drummond, and Ken Bagstad (USGS Geosciences and Environmental Change Science Center), as well as Wayne Thogmartin (USGS Upper Midwest Environmental Sciences Center) and Darius Semmens (USGS Geosciences and Environmental Change Science Center). The research fellow will be in Denver, CO, at the Geosciences and Environmental Change Science Center.The candidate will have latitude to pursue novel approaches related to the impacts of LULC change on socio-ecological systems and is expected to take lead and collaborative roles in all, or some combination, of: 1) Quantifying and understanding drivers of LULC change; 2) Developing urban ecosystem service models in ARIES (ARtificial Intelligence for Ecosystem Services<http://aries.integratedmodelling.org/>) for analyses at regional and national scales; 3) Enhancing existing modeling efforts for urban natural capital accounting using the System of Environmental Economic Accounting<https://seea.un.org/> (SEEA), and applying them to the Colorado Front Range<https://www.tandfonline.com/doi/full/10.1080/17445647.2018.1548383> or other regions where historic land-cover change data are available; 4) Developing methods to link observed patterns of LULC change to changes in monarch habitat across all parts of its range; 5) Analyzing the spatial pattern of monarch habitat in the Midwest and prioritizing locations for habitat restoration or enhancement.The post-doc will participate in framing and performing analyses and authoring and presenting results of research. The project supports ongoing research and offers opportunities to collaborate with a broader community of investigators and decision makers, through the Denver Urban Field Station, the Monarch Conservation Science Partnership, and national and international natural capital accounting initiatives. The project also employs technical science staff, undergraduates, and graduate students for geospatial analysis, literature synthesis, and model development.Applicants should possess strong skills in R and/or Python programming languages; knowledge of Java programming is a strong plus for model development in ARIES. Experience with geospatial methods/GIS skills are highly desirable as are advanced statistical expertise. Experience with economics and ecosystem services is preferred, but not a requirement for this position. The position is available as soon as a suitable candidate is found.To apply, please prepare a cover letter, curriculum vitae, transcripts, and contact information for three references. Please send your application via email, subject line ""LULC impacts."" For eligibility requirements, see (https://www.usgs.gov/about/organization/science-support/human-capital/usgs-postdoctoral-research-fellowship-program). The successful applicant will develop a research proposal in collaboration with research team as a requirement of the hiring process. The application and any questions should be directed to:Jay Diffendorfer, jediffendorfer@usgs.govUnited States Geological SurveyGeosciences and Environmental Change Science Center"
